n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
36,12,0.3333333333333333,1,52,1248,1296,40,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,41,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,42,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,43,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,44,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,45,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,46,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,47,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,48,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,49,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,50,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,51,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,52,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,53,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,54,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,55,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,56,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,57,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,58,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,59,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,60,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,61,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,62,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,63,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,64,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,65,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,66,pkp_derived,1248,1296,0,48,0,0
